產品ID,產品名稱,目前價格,熱賣,原始文字
3,｛UMAX 單條8GB DDR5-5600｝/CL46,3990,,"｛UMAX 單條8GB DDR5-5600｝/CL46, $3990 ◆ ★"
4,｛UMAX 單條16GB DDR5-5600｝/CL46,7300,是,"｛UMAX 單條16GB DDR5-5600｝/CL46, $7300 ◆ ★ 熱賣"
5,｛UMAX 單條32GB DDR5-5600｝/CL46,14500,是,"｛UMAX 單條32GB DDR5-5600｝/CL46, $14500 ◆ ★ 熱賣"
6,威剛 單條8GB DDR5-5600/CL46｛AD5U56008G-S｝,4199,,"威剛 單條8GB DDR5-5600/CL46｛AD5U56008G-S｝, $4199 ◆ ★"
7,威剛 單條16GB DDR5-4000/CL32｛AD5U400016G-S｝,5999,是,"威剛 單條16GB DDR5-4000/CL32｛AD5U400016G-S｝, $5999 ◆ ★ 熱賣"
8,威剛 單條16GB DDR5-4800/CL40｛AD5U480016G-S｝,6999,,"威剛 單條16GB DDR5-4800/CL40｛AD5U480016G-S｝, $6999 ◆ ★"
9,威剛 單條16GB DDR5-5600/CL46｛AD5U560016G-S｝,7999,,"威剛 單條16GB DDR5-5600/CL46｛AD5U560016G-S｝, $7999 ◆ ★"
10,威剛 單條16GB DDR5-5600/CL36 Lance 黑｛AX5U5600C3616G-CLABK｝少量,8199,,"威剛 單條16GB DDR5-5600/CL36 Lance 黑｛AX5U5600C3616G-CLABK｝少量, $8199"
11,威剛 單條16GB DDR5-5600/CL46 LancerBlade矮 黑｛AX5U5600C4616G-SLABBK｝,8199,,"威剛 單條16GB DDR5-5600/CL46 LancerBlade矮 黑｛AX5U5600C4616G-SLABBK｝, $8199 ◆ ★"
12,威剛 單條16GB DDR5-6000/CL48 LancerBlade矮 黑｛AX5U6000C4816G-SLABBK｝,8399,,"威剛 單條16GB DDR5-6000/CL48 LancerBlade矮 黑｛AX5U6000C4816G-SLABBK｝, $8399 ◆ ★"
13,威剛 單條32GB DDR5-5600/CL46｛AD5U560032G-S｝,14999,是,"威剛 單條32GB DDR5-5600/CL46｛AD5U560032G-S｝, $14999 ◆ ★ 熱賣"
14,｛金士頓 單條16GB DDR5-5600｝/CL46,7999,,"｛金士頓 單條16GB DDR5-5600｝/CL46, $7999 ◆ ★"
15,｛金士頓 單條32GB DDR5-5600｝/CL46,15500,,"｛金士頓 單條32GB DDR5-5600｝/CL46, $15500 ◆ ★"
16,｛金士頓 單條8GB DDR5-5600｝(CL36) FURY Beast (獸獵者),4990,,"｛金士頓 單條8GB DDR5-5600｝(CL36) FURY Beast (獸獵者), $4990 ◆ ★"
17,｛金士頓 單條16GB DDR5-5600｝(CL36) FURY Beast (獸獵者),8300,,"｛金士頓 單條16GB DDR5-5600｝(CL36) FURY Beast (獸獵者), $8300 ◆ ★"
18,｛金士頓 單條16GB DDR5-6000｝(CL30) FURY Beast Black (獸獵者),9300,,"｛金士頓 單條16GB DDR5-6000｝(CL30) FURY Beast Black (獸獵者), $9300 ◆ ★"
19,｛KLEVV(科賦) 單條16GB DDR5-5600｝/CL46,6250,,"｛KLEVV(科賦) 單條16GB DDR5-5600｝/CL46, $6250 ◆ ★"
20,｛美光 Micron Crucial 單條32GB DDR5 5600｝/CL46 (原生顆粒),13999,,"｛美光 Micron Crucial 單條32GB DDR5 5600｝/CL46 (原生顆粒), $13999 ◆ ★"
21,｛T-CREATE EXPERT 引領者 24G DDR5-6000｝/CL28 黑,9999,,"｛T-CREATE EXPERT 引領者 24G DDR5-6000｝/CL28 黑, $9999"
22,｛T-CREATE EXPERT 引領者 24G DDR5-6000｝/CL28 白,9999,,"｛T-CREATE EXPERT 引領者 24G DDR5-6000｝/CL28 白, $9999"
24,｛UMAX 16GB(雙通8GB*2) DDR5 4800｝/CL40 含散熱片,8200,,"｛UMAX 16GB(雙通8GB*2) DDR5 4800｝/CL40 含散熱片, $8200 ◆ ★"
25,｛UMAX 32GB(雙通16GB*2) DDR5 4800｝/CL40 含散熱片,14500,,"｛UMAX 32GB(雙通16GB*2) DDR5 4800｝/CL40 含散熱片, $14500 ◆ ★"
26,｛UMAX 16GB(雙通8GB*2) DDR5 5600｝/CL46 含散熱片,8200,,"｛UMAX 16GB(雙通8GB*2) DDR5 5600｝/CL46 含散熱片, $8200 ◆ ★"
27,｛UMAX 32GB(雙通16GB*2) DDR5 5600｝/CL46 含散熱片,14500,,"｛UMAX 32GB(雙通16GB*2) DDR5 5600｝/CL46 含散熱片, $14500 ◆ ★"
28,｛UMAX 64GB(雙通32GB*2) DDR5 6000｝/CL30 含散熱片,29999,,"｛UMAX 64GB(雙通32GB*2) DDR5 6000｝/CL30 含散熱片, $29999 ◆ ★"
29,威剛 32G(雙通16G*2)D5-5600/CL46 LancerBlade矮 黑｛AX5U5600C4616G-DTLABBK｝,16399,是,"威剛 32G(雙通16G*2)D5-5600/CL46 LancerBlade矮 黑｛AX5U5600C4616G-DTLABBK｝, $16399 ◆ ★ 熱賣"
30,威剛 32G(雙通16G*2)D5-5600/CL46 LancerBlade矮 白｛AX5U5600C4616G-DTLABWH｝,16399,是,"威剛 32G(雙通16G*2)D5-5600/CL46 LancerBlade矮 白｛AX5U5600C4616G-DTLABWH｝, $16399 ◆ ★ 熱賣"
31,威剛 32G(雙通16G*2)D5-6000/CL48 LancerBlade矮 黑｛AX5U6000C4816G-DTLABBK｝,17299,是,"威剛 32G(雙通16G*2)D5-6000/CL48 LancerBlade矮 黑｛AX5U6000C4816G-DTLABBK｝, $17299 ◆ ★ 熱賣"
32,威剛 32G(雙通16G*2)D5-6000/CL48 LancerBlade矮 白｛AX5U6000C4816G-DTLABWH｝,17299,是,"威剛 32G(雙通16G*2)D5-6000/CL48 LancerBlade矮 白｛AX5U6000C4816G-DTLABWH｝, $17299 ◆ ★ 熱賣"
33,威剛 32G(雙通16G*2)D5-6000/CL36 LancerBlade矮 黑｛AX5U6000C3616G-DTLABBK｝,17799,,"威剛 32G(雙通16G*2)D5-6000/CL36 LancerBlade矮 黑｛AX5U6000C3616G-DTLABBK｝, $17799 ◆ ★"
34,威剛 32G(雙通16G*2)D5-6000/CL36 LancerBlade矮 黑｛AX5U6000C3616G-DTLABBK｝~組裝價~,15999,,"威剛 32G(雙通16G*2)D5-6000/CL36 LancerBlade矮 黑｛AX5U6000C3616G-DTLABBK｝~組裝價~, $15999 ◆ ★"
35,威剛 32G(雙通16G*2)D5-6000/CL36 LancerBlade矮 白｛AX5U6000C3616G-DTLABWH｝,17799,,"威剛 32G(雙通16G*2)D5-6000/CL36 LancerBlade矮 白｛AX5U6000C3616G-DTLABWH｝, $17799 ◆ ★"
