產品ID,產品名稱,目前價格,熱賣,原始文字
10,｛Acer Nitro ARC B580 OC 12GB White｝2740MHz/27cm/雙風扇/註三年),8990,是,"｛Acer Nitro ARC B580 OC 12GB White｝2740MHz/27cm/雙風扇/註三年), $8990 ★ 熱賣 ↓任搭190↓"
12,｛華擎 ARC PRO B70 Creator 32G｝2540MHz/27cm/鼓風扇/註冊五年保,51290,,"｛華擎 ARC PRO B70 Creator 32G｝2540MHz/27cm/鼓風扇/註冊五年保, $51290 ◆ ★"
14,｛微星 N210-MD1G/D3｝589MHz/1G DDR3/風扇版/14.5cm/三年保,1590,,"｛微星 N210-MD1G/D3｝589MHz/1G DDR3/風扇版/14.5cm/三年保, $1590 ◆ ★"
16,｛華碩 GT710-SL-2GD5-BRK-EVO｝954MHz/2G DDR5/17cm/註冊四年保/保固最優,2590,是,"｛華碩 GT710-SL-2GD5-BRK-EVO｝954MHz/2G DDR5/17cm/註冊四年保/保固最優, $2590 ◆ ★ 熱賣"
17,｛技嘉 N710D3-2GL｝954MHz/2G DDR3/14.4cm/三年保,2490,,"｛技嘉 N710D3-2GL｝954MHz/2G DDR3/14.4cm/三年保, $2490 ◆ ★"
18,｛微星 GT710 2GD3H LP｝954MHz/2G DDR3/靜音版/14.6cm/三年保,2590,,"｛微星 GT710 2GD3H LP｝954MHz/2G DDR3/靜音版/14.6cm/三年保, $2590 ◆ ★"
20,｛ZOTAC GT710-2GD3-L｝954MHz/2G DDR3/靜音版/14.6cm/註四年/三介面 *尾盤,2290,,"｛ZOTAC GT710-2GD3-L｝954MHz/2G DDR3/靜音版/14.6cm/註四年/三介面 *尾盤, $2290 ◆ ★"
21,｛ZOTAC GT710-2GD3｝954MHz/2G DDR3/單風扇/15.7cm/註四年/三介面,2490,,"｛ZOTAC GT710-2GD3｝954MHz/2G DDR3/單風扇/15.7cm/註四年/三介面, $2490 ◆ ★"
22,｛INNO3D GT710 2GB DDR3｝954MHz/靜音版/14cm/三年保固,1988,,"｛INNO3D GT710 2GB DDR3｝954MHz/靜音版/14cm/三年保固, $1988 ◆ ★"
24,｛華碩 GT730-SL-2GD5-BRK｝902MHz/2G DDR5/16.5cm/靜音版/註四年,3090,是,"｛華碩 GT730-SL-2GD5-BRK｝902MHz/2G DDR5/16.5cm/靜音版/註四年, $3090 ◆ ★ 熱賣"
25,｛華碩 GT730-4H-SL-2GD5｝927MHz/2G DDR5/14.8cm/靜音版/註四年/4輸出 HDMI,3490,,"｛華碩 GT730-4H-SL-2GD5｝927MHz/2G DDR5/14.8cm/靜音版/註四年/4輸出 HDMI, $3490 ◆ ★"
26,｛微星 N730-2GD3V3｝700MHz/2G DDR3 128Bit/14.5cm/三年保/雪精靈系列,2990,,"｛微星 N730-2GD3V3｝700MHz/2G DDR3 128Bit/14.5cm/三年保/雪精靈系列, $2990 ◆ ★ ↓任搭90↓"
27,｛微星 N730K-2GD3/OCV5｝1006MHz/2G DDR3/15cm/三年保/*尾盤,2990,,"｛微星 N730K-2GD3/OCV5｝1006MHz/2G DDR3/15cm/三年保/*尾盤, $2990 ★ ↓任搭90↓"
28,｛ZOTAC GT730 2GB Zone Edition｝902MHz/2G DDR3/15cm/無風扇/註四年/三介面,2990,,"｛ZOTAC GT730 2GB Zone Edition｝902MHz/2G DDR3/15cm/無風扇/註四年/三介面, $2990 ◆ ★ ↓任搭90↓"
29,｛INNO3D GT730 2GB SDDR3 LP｝902MHz/靜音版/14cm/三年保,2688,,"｛INNO3D GT730 2GB SDDR3 LP｝902MHz/靜音版/14cm/三年保, $2688 ◆ ★"
30,｛INNO3D GT730 4GB SDDR3 LP｝902MHz/單風扇/15cm/三年保,2988,,"｛INNO3D GT730 4GB SDDR3 LP｝902MHz/單風扇/15cm/三年保, $2988 ◆ ★"
33,｛華碩 GT1030-SL-2G-BRK｝1468MHz/GDDR5/17cm/註四年,3590,是,"｛華碩 GT1030-SL-2G-BRK｝1468MHz/GDDR5/17cm/註四年, $3590 ◆ ★ 熱賣"
